Vx	Vy	Vz	Wx	Wy	Wz	fi	psi	teta	Ksi	Eta	Dzeta	T	Tng	Tkg	Tnb	Tkb	Lat	Long
2.000	0.007	-0.002	-0.000	0.009	0.003	-0.074	-0.468	-0.262	55.828	-14.635	24.374	929.126	100.000	-100.000	100.000	-100.000	69.218849	16.456994
2.000	0.007	0.000	-0.000	-0.001	-0.001	-0.073	-0.464	-0.263	57.556	-15.147	25.241	929.126	100.000	-100.000	-100.000	100.000	69.218864	16.457016
2.000	0.006	-0.001	-0.000	-0.001	0.002	-0.074	-0.467	-0.262	59.283	-15.661	26.108	929.126	-100.000	100.000	-100.000	100.000	69.218880	16.457038
2.000	0.005	0.000	0.000	0.007	0.001	-0.072	-0.463	-0.261	61.011	-16.173	26.975	929.126	-100.000	100.000	-100.000	100.000	69.218895	16.457060
2.000	0.004	0.003	0.000	0.001	0.000	-0.071	-0.458	-0.260	62.743	-16.684	27.834	929.126	100.000	-100.000	100.000	-100.000	69.218911	16.457081
2.000	0.005	0.003	0.000	-0.003	-0.007	-0.071	-0.457	-0.264	64.477	-17.197	28.690	929.126	100.000	-100.000	-100.000	100.000	69.218926	16.457103
2.000	0.009	0.003	0.000	-0.002	-0.006	-0.072	-0.459	-0.272	66.207	-17.720	29.546	929.126	100.000	-100.000	-100.000	100.000	69.218942	16.457125
2.000	0.011	0.001	0.000	-0.007	-0.000	-0.073	-0.463	-0.275	67.933	-18.251	30.403	929.126	100.000	-100.000	-100.000	100.000	69.218957	16.457146
2.000	0.008	-0.001	0.000	-0.004	0.001	-0.074	-0.467	-0.271	69.657	-18.782	31.267	929.126	100.000	-100.000	-100.000	100.000	69.218973	16.457168
2.000	0.009	-0.003	0.000	-0.002	-0.002	-0.075	-0.471	-0.274	71.378	-19.313	32.136	929.126	-100.000	100.000	100.000	-100.000	69.218988	16.457190
2.000	0.006	-0.003	0.000	-0.002	0.004	-0.075	-0.471	-0.270	73.098	-19.844	33.008	929.126	100.000	-100.000	-100.000	100.000	69.219004	16.457212
